country_name,country_qid,entity,label,type
Belgium,Q31,http://www.wikidata.org/entity/Q2867847,Q2867847,Electric power distribution
Brazil,Q155,http://www.wikidata.org/entity/Q10274271,EDP Espírito Santo,Electric power distribution
